Game Title,Platform,Genre,Publisher,Release Year,NA Sales (M),EU Sales (M),JP Sales (M),Other Sales (M),Global Sales (M),Rating
Iron Legends: Rebirth,PS5,Shooter,Microsoft,2007,3.6,3.18,3.96,0.88,11.62,M
Galactic Lords: Ascension,Xbox Series X,Sports,Microsoft,2013,3.35,2.83,2.57,1.34,10.09,E10+
Elden Ring,PS4,RPG,EA,2000,3.11,1.46,2.88,1.51,8.96,M
Grand Theft Auto V,PS4,RPG,Capcom,2007,3.02,3.69,3.44,1.01,11.16,AO
Shadow Legends: Rebirth,PS4,RPG,Activision,2023,3.28,2.97,2.11,2.46,10.82,E10+
Shadow Warriors: Ascension,PS4,RPG,Microsoft,2005,1.22,1.1,3.27,1.1,6.69,M
Galactic Raiders: Ascension,Xbox Series X,Adventure,Microsoft,2008,4.08,1.68,1.25,1.08,8.09,AO
Galactic Knights: Eclipse,PS5,Strategy,Sony,2010,4.25,0.48,2.92,3.3,10.95,AO
Dark Knights: Odyssey,Xbox One,Strategy,Capcom,2003,3.36,1.55,4.62,3.7,13.23,E10+
Iron Lords: Eclipse,PS4,Action,EA,2011,3.66,3.79,3.71,0.66,11.82,M
Galactic Knights: Odyssey,Xbox Series X,Adventure,Capcom,2016,4.11,4.35,0.59,1.69,10.74,T
Mystic Knights: Odyssey,Nintendo Switch,Strategy,Sony,2010,4.22,2.7,4.06,1.23,12.21,AO
Mystic Knights: Eclipse,PS5,Strategy,Ubisoft,2002,4.61,2.1,3.29,3.27,13.27,AO
Mystic Raiders: Ascension,PC,Sports,Ubisoft,2000,4.34,2.39,2.69,4.33,13.75,E
Galactic Warriors: Ascension,Xbox Series X,Shooter,Nintendo,2015,1.55,3.97,4.25,0.16,9.93,AO
Iron Legends: Eclipse,PS4,Puzzle,Microsoft,2008,0.6,3.29,3.63,4.48,12.0,T
Mystic Raiders: Odyssey,Xbox Series X,Sports,Ubisoft,2011,0.16,0.88,4.51,3.82,9.37,T
Iron Warriors: Rebirth,PS4,Strategy,Ubisoft,2022,0.59,2.11,4.8,1.29,8.79,T
Mystic Warriors: Odyssey,Xbox Series X,Sports,Nintendo,2007,0.24,2.95,0.65,0.93,4.77,E
Assassin's Creed Valhalla,Xbox One,Adventure,Sony,2006,2.34,3.21,2.63,0.41,8.59,E
Mystic Lords: Ascension,PS5,Strategy,Ubisoft,2020,0.91,2.67,4.07,3.79,11.44,AO
Galactic Knights: Rebirth,PC,Adventure,Sony,2014,1.79,3.93,2.32,1.16,9.2,AO
Iron Knights: Odyssey,PS5,Shooter,Sony,2010,3.82,1.39,1.23,3.5,9.94,E10+
Dark Warriors: Ascension,PC,Action,Capcom,2010,3.68,1.82,3.48,4.31,13.29,T
Iron Lords: Odyssey,PS4,Adventure,Microsoft,2001,0.11,1.48,1.23,0.41,3.23,AO
Shadow Legends: Chronicles,PC,Sports,EA,2003,4.09,0.71,2.35,3.24,10.39,E
Mystic Legends: Eclipse,PS4,Puzzle,Nintendo,2019,4.58,0.62,4.23,4.42,13.85,T
Shadow Warriors: Eclipse,PC,Sports,Sony,2016,3.07,0.26,3.11,1.58,8.02,E
Galactic Knights: Chronicles,Xbox One,Strategy,Activision,2011,3.65,2.22,1.75,4.52,12.14,E
God of War,Nintendo Switch,Sports,Activision,2001,0.14,1.83,2.71,2.33,7.01,E10+
Minecraft,Xbox Series X,RPG,Capcom,2021,4.47,3.54,3.9,2.35,14.26,M
The Legend of Zelda,PC,Strategy,EA,2003,0.98,5.0,0.93,3.29,10.2,T
Mystic Lords: Odyssey,Nintendo Switch,Sports,Nintendo,2021,0.25,4.29,4.06,2.04,10.64,AO
Dark Legends: Eclipse,Xbox One,Action,Sony,2015,2.78,2.62,4.97,4.48,14.85,T
Mystic Warriors: Chronicles,Xbox One,RPG,EA,2013,1.35,3.41,0.41,2.94,8.11,M
Mystic Raiders: Chronicles,Nintendo Switch,Puzzle,Microsoft,2013,0.66,0.81,1.24,1.13,3.84,M
Dark Lords: Chronicles,PS4,Adventure,Capcom,2020,1.56,3.88,4.28,2.69,12.41,E10+
Dark Warriors: Eclipse,PC,Puzzle,EA,2014,1.45,4.34,2.05,2.6,10.44,AO
Dark Knights: Chronicles,PS4,Adventure,Microsoft,2011,3.48,1.22,1.53,1.85,8.08,E
Dark Warriors: Rebirth,Nintendo Switch,Puzzle,Nintendo,2006,0.95,1.56,3.24,1.14,6.89,AO
Iron Raiders: Odyssey,PS5,Strategy,Nintendo,2003,3.91,1.65,2.29,4.42,12.27,E
Dark Raiders: Eclipse,PS4,Puzzle,Sony,2003,4.51,0.25,0.4,3.6,8.76,AO
Shadow Raiders: Odyssey,Xbox Series X,Adventure,Microsoft,2013,2.98,2.87,1.49,3.15,10.49,T
Dark Knights: Ascension,PS4,Strategy,Sony,2000,3.44,2.91,0.31,2.76,9.42,T
Dark Lords: Eclipse,Nintendo Switch,RPG,Ubisoft,2002,0.59,2.06,3.9,0.62,7.17,M
Super Mario Odyssey,Xbox One,RPG,Microsoft,2002,0.23,3.42,3.23,2.7,9.58,AO
Shadow Warriors: Chronicles,PC,Action,Nintendo,2000,3.68,2.78,0.77,3.43,10.66,E
Galactic Legends: Ascension,Xbox One,Shooter,Ubisoft,2010,4.22,4.38,1.51,1.34,11.45,AO
Mystic Knights: Ascension,Nintendo Switch,Action,Sony,2005,1.38,0.82,1.17,3.03,6.4,E10+
Among Us,PC,Action,Sony,2008,2.28,2.12,0.87,3.41,8.68,M
Horizon Forbidden West,Nintendo Switch,Strategy,Ubisoft,2011,0.46,3.23,0.17,4.43,8.29,AO
Shadow Raiders: Ascension,Xbox Series X,Adventure,Ubisoft,2000,3.36,1.39,2.46,0.23,7.44,AO
Mystic Raiders: Rebirth,PS5,Action,Ubisoft,2007,0.74,1.75,0.84,1.78,5.11,E10+
The Sims,Xbox One,RPG,Sony,2021,4.39,4.3,3.2,0.48,12.37,AO
Dark Lords: Odyssey,Nintendo Switch,Sports,EA,2018,4.54,0.84,1.69,4.49,11.56,AO
Galactic Legends: Rebirth,PC,Strategy,Microsoft,2001,0.26,1.16,1.65,2.02,5.09,E
Galactic Raiders: Eclipse,PC,Action,Ubisoft,2018,1.72,4.32,4.5,4.95,15.49,AO
Mystic Lords: Eclipse,Nintendo Switch,RPG,Activision,2021,0.34,3.62,1.6,2.09,7.65,E10+
Splatoon 3,Xbox Series X,Action,Nintendo,2008,1.4,1.63,3.16,3.6,9.79,E
Shadow Lords: Rebirth,PC,Adventure,EA,2003,1.64,0.88,0.58,4.28,7.38,E10+
Shadow Raiders: Rebirth,PC,Shooter,Nintendo,2009,0.5,4.63,2.87,2.57,10.57,T
Mystic Warriors: Eclipse,PS4,Adventure,Capcom,2004,2.86,1.65,2.95,1.94,9.4,E10+
Shadow Lords: Chronicles,PS5,Puzzle,Sony,2023,3.79,3.7,3.34,3.61,14.44,T
Iron Lords: Rebirth,Xbox One,Adventure,EA,2007,2.05,1.48,3.5,0.77,7.8,AO
Galactic Warriors: Chronicles,Xbox Series X,RPG,Ubisoft,2014,2.81,1.22,4.61,3.58,12.22,AO
Iron Legends: Chronicles,Xbox Series X,Strategy,Ubisoft,2023,4.84,2.89,3.04,3.11,13.88,E10+
Shadow Warriors: Odyssey,PC,RPG,Ubisoft,2008,4.61,2.42,2.71,0.83,10.57,E
Shadow Warriors: Rebirth,Xbox One,Action,Microsoft,2020,0.52,0.46,1.55,1.75,4.28,E
Mystic Knights: Rebirth,PS4,Puzzle,Ubisoft,2001,4.51,3.95,4.34,0.55,13.35,E10+
Shadow Legends: Ascension,Xbox One,Puzzle,Nintendo,2015,4.42,1.71,0.36,2.92,9.41,T
Shadow Knights: Ascension,Xbox Series X,Shooter,EA,2022,1.02,1.58,1.87,1.8,6.27,M
Shadow Lords: Ascension,Xbox One,Shooter,Ubisoft,2023,1.61,1.84,2.61,1.95,8.01,E10+
Halo Infinite,PC,Action,Activision,2012,3.94,1.5,2.24,0.15,7.83,AO
Iron Raiders: Rebirth,PC,Sports,EA,2023,1.98,3.27,3.41,2.41,11.07,E10+
Mystic Legends: Chronicles,PS5,Action,Sony,2011,1.32,4.31,2.09,3.8,11.52,M
Cyberpunk 2077,Xbox Series X,Adventure,Nintendo,2018,2.19,4.68,2.47,3.07,12.41,AO
Iron Lords: Chronicles,PC,Strategy,Ubisoft,2014,4.19,3.2,4.74,0.66,12.79,E10+
Iron Warriors: Eclipse,Xbox One,Strategy,Ubisoft,2007,4.1,4.33,0.31,2.94,11.68,M
Dark Raiders: Chronicles,PS5,Shooter,Activision,2000,2.84,4.61,1.92,1.74,11.11,E10+
Shadow Knights: Rebirth,PC,RPG,Nintendo,2007,3.82,1.76,2.45,0.46,8.49,E
Iron Warriors: Ascension,PC,Action,Activision,2020,0.59,4.6,4.45,0.52,10.16,E
Iron Raiders: Eclipse,Xbox One,Strategy,Capcom,2001,1.96,4.88,3.48,4.16,14.48,E10+
Dark Raiders: Odyssey,Xbox One,Shooter,Nintendo,2014,1.24,1.37,0.83,2.64,6.08,E
Galactic Raiders: Odyssey,PS4,Shooter,Activision,2010,0.51,1.61,1.67,1.41,5.2,E
Dark Warriors: Chronicles,Nintendo Switch,Shooter,Ubisoft,2010,4.85,2.98,1.58,2.23,11.64,T
Iron Knights: Ascension,PS4,Shooter,Microsoft,2014,1.83,1.02,0.96,0.32,4.13,E
Dark Knights: Rebirth,Xbox Series X,Action,Activision,2012,3.85,0.79,1.44,3.36,9.44,M
Animal Crossing,PS4,Strategy,Ubisoft,2009,0.91,2.11,1.44,2.45,6.91,AO
Dark Warriors: Odyssey,PS5,Sports,EA,2016,3.5,1.84,2.09,3.57,11.0,E
Dark Knights: Eclipse,PC,Strategy,EA,2007,2.74,3.59,3.05,2.53,11.91,E
Iron Warriors: Chronicles,Nintendo Switch,RPG,Ubisoft,2022,0.98,4.48,3.0,2.18,10.64,E
Galactic Lords: Odyssey,PS5,Strategy,EA,2020,2.13,2.78,0.38,4.0,9.29,E
Iron Lords: Ascension,PS4,Strategy,Ubisoft,2007,0.42,1.72,1.76,2.41,6.31,M
Red Dead Redemption 2,PC,Action,Capcom,2006,2.71,1.77,2.74,2.22,9.44,M
Mystic Raiders: Eclipse,Xbox Series X,RPG,Nintendo,2009,1.18,2.72,4.09,1.64,9.63,T
Dark Legends: Chronicles,Nintendo Switch,Puzzle,EA,2009,1.29,3.03,2.6,4.96,11.88,AO
Galactic Warriors: Eclipse,Nintendo Switch,Puzzle,Activision,2005,0.32,1.43,1.46,1.28,4.49,E
Mystic Warriors: Rebirth,Xbox One,Sports,Microsoft,2008,0.68,3.61,0.89,2.52,7.7,M
Galactic Legends: Odyssey,PS4,RPG,EA,2012,2.05,2.53,1.31,3.83,9.72,E10+
Shadow Knights: Chronicles,Nintendo Switch,RPG,Activision,2008,1.62,2.7,3.43,2.89,10.64,AO
Galactic Raiders: Rebirth,Xbox One,Puzzle,Activision,2019,2.99,2.98,0.63,3.99,10.59,AO
Iron Warriors: Odyssey,Xbox Series X,Shooter,Sony,2018,1.93,0.18,3.18,2.03,7.32,E10+
Iron Legends: Odyssey,PS5,Strategy,Nintendo,2016,2.01,3.34,3.85,0.42,9.62,E
Galactic Raiders: Chronicles,Xbox One,RPG,Microsoft,2009,0.98,0.69,2.58,3.55,7.8,T
Galactic Lords: Rebirth,Xbox Series X,RPG,Activision,2021,4.75,4.64,1.74,2.82,13.95,E
Dark Legends: Odyssey,PS5,Adventure,Capcom,2001,0.94,2.7,3.6,1.3,8.54,E10+
Mystic Legends: Ascension,Xbox One,Action,Microsoft,2003,2.96,1.28,4.93,1.85,11.02,M
Overwatch,Xbox Series X,RPG,Capcom,2005,4.29,2.92,0.4,2.03,9.64,E
Mystic Warriors: Ascension,Nintendo Switch,Shooter,Microsoft,2007,1.45,3.4,4.96,3.07,12.88,T
Shadow Lords: Eclipse,Nintendo Switch,Shooter,Nintendo,2006,3.7,2.2,3.23,3.95,13.08,AO
Iron Knights: Eclipse,PC,Shooter,Nintendo,2000,3.82,0.97,0.85,2.36,8.0,E
Iron Knights: Chronicles,PS4,Puzzle,Microsoft,2007,2.89,4.94,1.38,3.64,12.85,E
Call of Duty,PS5,Action,Microsoft,2004,2.58,0.55,1.64,3.32,8.09,AO
Galactic Lords: Chronicles,Xbox Series X,Action,Capcom,2012,2.99,3.88,3.93,1.15,11.95,E
Galactic Warriors: Odyssey,PS4,Action,Ubisoft,2006,0.71,4.72,4.03,0.69,10.15,AO
Dark Legends: Rebirth,Nintendo Switch,Action,EA,2009,3.05,2.45,0.53,1.39,7.42,M
Dark Legends: Ascension,PS5,Sports,Sony,2012,2.05,1.55,4.19,1.17,8.96,M
Resident Evil Village,Nintendo Switch,Sports,Microsoft,2005,1.73,1.22,4.18,2.65,9.78,E
Dark Lords: Ascension,Xbox Series X,Action,Capcom,2002,4.28,1.19,4.15,0.88,10.5,E10+
Shadow Knights: Eclipse,PS5,RPG,Nintendo,2000,0.49,2.18,3.74,4.67,11.08,E10+
Mystic Lords: Rebirth,Xbox Series X,Action,Activision,2011,0.62,3.84,0.85,2.49,7.8,E
Iron Knights: Rebirth,PS4,Action,Nintendo,2001,3.01,3.1,4.28,4.48,14.87,E10+
Galactic Legends: Eclipse,Nintendo Switch,Action,Sony,2015,0.57,4.93,1.54,1.32,8.36,T
Galactic Legends: Chronicles,Xbox Series X,Shooter,Activision,2009,4.36,2.5,3.35,2.01,12.22,E10+
Galactic Knights: Ascension,PS5,Strategy,Sony,2005,4.65,3.56,3.29,2.43,13.93,AO
Mystic Knights: Chronicles,Xbox One,Sports,Microsoft,2021,4.53,4.39,3.92,3.35,16.19,M
Street Fighter VI,Xbox Series X,RPG,Sony,2011,4.68,3.88,4.92,0.81,14.29,M
Fortnite,Nintendo Switch,Adventure,Sony,2001,2.13,0.22,3.95,2.88,9.18,T
Shadow Knights: Odyssey,PS5,Shooter,Ubisoft,2019,3.69,4.18,4.35,1.28,13.5,AO
Mystic Lords: Chronicles,Xbox One,Strategy,Ubisoft,2013,4.4,2.69,0.19,4.36,11.64,E
Pokemon Scarlet,Nintendo Switch,Action,Nintendo,2018,0.42,1.79,4.13,4.44,10.78,M
Dark Lords: Rebirth,Nintendo Switch,Shooter,Capcom,2019,0.48,3.08,4.11,4.53,12.2,E10+
Dark Raiders: Ascension,Xbox One,Puzzle,Capcom,2001,2.9,3.14,2.61,0.64,9.29,T
Shadow Legends: Odyssey,Nintendo Switch,Sports,Ubisoft,2012,4.57,4.09,0.5,2.85,12.01,AO
Shadow Legends: Eclipse,PC,Action,Sony,2013,1.5,4.33,4.08,0.34,10.25,T
Iron Raiders: Chronicles,PS4,Adventure,Ubisoft,2007,3.83,2.7,3.21,1.46,11.2,M
Shadow Raiders: Chronicles,PS4,Sports,Nintendo,2012,3.54,3.41,2.55,2.32,11.82,T
Galactic Warriors: Rebirth,PC,RPG,Capcom,2004,0.42,3.36,3.46,3.84,11.08,AO
Mystic Legends: Rebirth,PS5,Shooter,Capcom,2002,1.35,1.31,4.23,2.12,9.01,T
Mystic Legends: Odyssey,Xbox Series X,Adventure,Sony,2009,0.29,3.11,2.35,1.12,6.87,AO
Galactic Lords: Eclipse,PS5,Sports,Activision,2002,3.52,0.15,0.51,1.13,5.31,T
Iron Legends: Ascension,Nintendo Switch,Sports,Capcom,2007,0.94,3.69,4.66,3.54,12.83,E
Iron Raiders: Ascension,Nintendo Switch,Sports,Nintendo,2019,4.01,1.27,3.97,0.9,10.15,M
Shadow Lords: Odyssey,PC,Puzzle,Microsoft,2011,4.59,0.77,4.82,0.27,10.45,M
Shadow Raiders: Eclipse,PS5,Puzzle,Nintendo,2004,2.35,4.06,4.41,1.72,12.54,T
Dark Raiders: Rebirth,Nintendo Switch,Action,Ubisoft,2018,4.58,2.41,2.5,1.58,11.07,E
Iron Legends: Rebirth,PS4,Sports,Capcom,2022,0.8,2.78,2.53,3.77,9.88,E
Galactic Lords: Ascension,Xbox Series X,Shooter,Microsoft,2019,0.33,0.63,1.91,1.35,4.22,M
Elden Ring,Nintendo Switch,Shooter,Capcom,2005,4.56,1.97,1.12,3.11,10.76,M
Grand Theft Auto V,PC,RPG,EA,2006,4.24,4.34,2.23,1.41,12.22,E
Shadow Legends: Rebirth,PS5,Adventure,Microsoft,2008,0.92,1.15,4.26,4.36,10.69,E10+
Shadow Warriors: Ascension,PS5,Adventure,Capcom,2014,3.94,3.51,4.49,3.62,15.56,E10+
Galactic Raiders: Ascension,Nintendo Switch,Sports,Activision,2006,2.01,2.67,1.8,1.7,8.18,T
Galactic Knights: Eclipse,Nintendo Switch,RPG,Microsoft,2011,0.84,3.05,4.5,0.11,8.5,T
Dark Knights: Odyssey,Xbox Series X,Sports,EA,2021,1.22,4.31,1.29,2.45,9.27,T
Iron Lords: Eclipse,PS4,Puzzle,EA,2009,2.52,1.44,4.15,2.56,10.67,AO
Galactic Knights: Odyssey,Xbox Series X,Adventure,Nintendo,2014,4.84,2.16,2.74,3.66,13.4,M
Mystic Knights: Odyssey,Xbox One,Strategy,Capcom,2018,2.78,3.25,3.22,1.46,10.71,E
Mystic Knights: Eclipse,PC,Shooter,EA,2004,0.13,1.58,1.82,3.8,7.33,E10+
Mystic Raiders: Ascension,PC,Strategy,Nintendo,2022,1.85,4.34,1.99,0.16,8.34,E10+
Galactic Warriors: Ascension,PC,Puzzle,EA,2007,1.16,3.21,4.21,1.39,9.97,E
Iron Legends: Eclipse,Xbox Series X,Strategy,Ubisoft,2017,0.36,1.68,3.26,4.09,9.39,E10+
Mystic Raiders: Odyssey,PS4,RPG,Nintendo,2011,1.34,3.76,2.29,1.07,8.46,E10+
Iron Warriors: Rebirth,Nintendo Switch,Action,Sony,2012,4.74,4.76,1.63,2.97,14.1,AO
Mystic Warriors: Odyssey,PS5,Action,Capcom,2021,1.74,2.62,0.87,0.73,5.96,M
Assassin's Creed Valhalla,PS4,RPG,Ubisoft,2012,2.06,0.67,4.29,0.98,8.0,E
Mystic Lords: Ascension,PC,Strategy,Nintendo,2012,2.91,3.5,1.88,1.18,9.47,M
Galactic Knights: Rebirth,Xbox One,Sports,Sony,2023,2.9,3.83,4.96,4.73,16.42,T
Iron Knights: Odyssey,Xbox Series X,Shooter,Nintendo,2009,0.33,2.02,3.47,1.01,6.83,T
Dark Warriors: Ascension,Xbox One,Adventure,Sony,2020,2.62,1.56,1.57,2.52,8.27,E
Iron Lords: Odyssey,PS4,Sports,EA,2013,2.23,1.02,4.42,4.1,11.77,T
Shadow Legends: Chronicles,PS5,Action,Nintendo,2004,4.09,2.21,3.09,3.56,12.95,E10+
Mystic Legends: Eclipse,PS4,Adventure,EA,2001,0.73,1.29,2.36,4.99,9.37,M
Shadow Warriors: Eclipse,PS4,Puzzle,Activision,2005,1.84,0.29,0.2,1.78,4.11,T
Galactic Knights: Chronicles,PS5,Sports,EA,2005,2.37,0.43,2.6,0.41,5.81,AO
God of War,Xbox Series X,Action,Nintendo,2021,2.59,4.66,2.64,2.5,12.39,T
Minecraft,PS4,Action,Activision,2012,0.36,2.12,4.88,1.45,8.81,E10+
The Legend of Zelda,Xbox One,Action,EA,2015,4.65,3.61,3.57,3.39,15.22,T
Mystic Lords: Odyssey,PC,Sports,Ubisoft,2019,4.56,0.4,2.77,2.47,10.2,AO
Dark Legends: Eclipse,PS4,Puzzle,Ubisoft,2021,2.93,4.26,0.37,0.81,8.37,T
Mystic Warriors: Chronicles,PC,Sports,EA,2010,2.66,1.05,1.76,1.62,7.09,E
Mystic Raiders: Chronicles,Nintendo Switch,Puzzle,Sony,2005,1.58,4.51,1.52,1.36,8.97,E10+
Dark Lords: Chronicles,PS5,RPG,EA,2015,4.08,0.34,2.75,2.59,9.76,AO
Dark Warriors: Eclipse,PS4,RPG,Ubisoft,2010,0.84,0.39,2.55,2.26,6.04,M
Dark Knights: Chronicles,Xbox Series X,Puzzle,Capcom,2010,1.63,1.47,1.17,2.1,6.37,T
Dark Warriors: Rebirth,PC,Adventure,Nintendo,2001,0.33,4.82,4.95,0.31,10.41,E10+
Iron Raiders: Odyssey,Xbox Series X,Shooter,Nintendo,2012,3.84,0.55,2.1,1.9,8.39,M
Dark Raiders: Eclipse,Xbox Series X,Adventure,Nintendo,2000,2.18,3.7,2.34,3.39,11.61,E
Shadow Raiders: Odyssey,PS5,Strategy,EA,2019,3.71,1.79,1.56,2.08,9.14,E10+
Dark Knights: Ascension,PS4,RPG,Nintendo,2019,0.63,3.46,2.8,1.7,8.59,M
Dark Lords: Eclipse,PC,Shooter,Sony,2022,4.85,2.18,1.94,2.29,11.26,AO
Super Mario Odyssey,PC,Sports,Ubisoft,2006,3.21,4.75,3.86,4.51,16.33,M
Shadow Warriors: Chronicles,PS5,RPG,Nintendo,2019,3.58,0.65,2.21,4.32,10.76,AO
Galactic Legends: Ascension,PS5,Sports,EA,2017,0.13,1.74,2.24,1.18,5.29,E
Mystic Knights: Ascension,Nintendo Switch,RPG,Microsoft,2020,1.41,4.91,4.83,2.79,13.94,E10+
Among Us,PS5,Puzzle,Activision,2021,2.85,0.54,3.82,3.48,10.69,AO
Horizon Forbidden West,PC,Sports,Sony,2001,1.17,4.04,3.23,4.28,12.72,E10+
Shadow Raiders: Ascension,PS4,Sports,EA,2005,2.84,3.41,0.39,1.38,8.02,M
Mystic Raiders: Rebirth,PS5,Action,Nintendo,2002,4.68,4.81,2.67,4.72,16.88,AO
The Sims,PS5,Action,EA,2003,2.74,1.55,2.45,3.96,10.7,AO
Dark Lords: Odyssey,PS5,RPG,Capcom,2018,1.72,4.26,1.17,1.49,8.64,T
Galactic Legends: Rebirth,PS4,Sports,Activision,2013,0.75,4.75,0.51,3.96,9.97,AO
Galactic Raiders: Eclipse,PC,RPG,Activision,2003,4.27,2.38,1.22,3.27,11.14,M
Mystic Lords: Eclipse,Xbox Series X,Strategy,Microsoft,2011,0.56,1.04,4.3,4.29,10.19,T
Splatoon 3,PC,Shooter,Capcom,2014,2.34,4.53,2.17,1.29,10.33,M
Shadow Lords: Rebirth,Xbox One,RPG,Microsoft,2011,3.15,4.47,1.92,1.07,10.61,E10+
Shadow Raiders: Rebirth,Nintendo Switch,Strategy,Sony,2020,0.68,4.65,0.95,1.07,7.35,T
Mystic Warriors: Eclipse,Xbox One,Strategy,Sony,2019,3.58,4.65,2.64,2.37,13.24,AO
Shadow Lords: Chronicles,PS5,Sports,Capcom,2016,2.05,0.74,2.51,2.91,8.21,E10+
Iron Lords: Rebirth,PS4,Strategy,Activision,2006,0.13,2.96,1.27,3.43,7.79,T
Galactic Warriors: Chronicles,Nintendo Switch,RPG,Ubisoft,2010,3.92,1.43,2.97,0.13,8.45,AO
Iron Legends: Chronicles,Nintendo Switch,RPG,Sony,2007,0.1,2.52,0.21,3.42,6.25,E10+
Shadow Warriors: Odyssey,PS4,Strategy,Activision,2002,1.1,4.88,0.64,1.48,8.1,T
Shadow Warriors: Rebirth,PS4,Strategy,EA,2015,3.46,4.03,0.68,0.23,8.4,T
Mystic Knights: Rebirth,Xbox Series X,Action,Sony,2023,0.68,3.27,2.42,4.07,10.44,M
Shadow Legends: Ascension,Xbox One,Puzzle,Sony,2011,1.62,1.96,2.26,4.01,9.85,AO
Shadow Knights: Ascension,Xbox One,Action,Nintendo,2010,3.39,0.41,1.88,2.63,8.31,AO
Shadow Lords: Ascension,PS4,Action,Capcom,2007,2.34,1.15,1.44,2.68,7.61,E
Halo Infinite,Xbox One,Shooter,Activision,2006,1.59,3.42,0.86,4.93,10.8,E10+
Iron Raiders: Rebirth,Nintendo Switch,Shooter,Sony,2011,3.45,2.29,1.94,3.28,10.96,AO
Mystic Legends: Chronicles,PS4,Puzzle,Capcom,2015,1.19,0.42,1.63,0.42,3.66,AO
Cyberpunk 2077,PC,RPG,Sony,2016,4.08,4.83,1.6,0.44,10.95,T
Iron Lords: Chronicles,PS5,Puzzle,EA,2014,1.52,0.55,4.85,2.37,9.29,AO
Iron Warriors: Eclipse,PS5,Action,Ubisoft,2003,2.49,0.75,1.73,0.42,5.39,M
Dark Raiders: Chronicles,Xbox One,Sports,EA,2006,0.19,0.9,4.11,2.77,7.97,M
Shadow Knights: Rebirth,Xbox One,Strategy,Sony,2020,0.39,0.82,3.03,1.97,6.21,E10+
Iron Warriors: Ascension,PS4,Sports,EA,2020,1.33,2.97,4.26,4.36,12.92,AO
Iron Raiders: Eclipse,Nintendo Switch,Shooter,Sony,2014,4.81,0.95,4.43,3.33,13.52,T
Dark Raiders: Odyssey,PS4,Action,Activision,2009,1.48,2.16,4.03,1.59,9.26,E10+
Galactic Raiders: Odyssey,Nintendo Switch,Puzzle,Nintendo,2015,4.53,1.85,4.87,1.72,12.97,E
Dark Warriors: Chronicles,Nintendo Switch,Strategy,Sony,2021,1.11,2.31,2.19,0.53,6.14,E
Iron Knights: Ascension,Xbox Series X,Strategy,Capcom,2000,3.17,3.97,0.43,3.33,10.9,E10+
Dark Knights: Rebirth,Xbox Series X,Shooter,EA,2016,2.76,0.78,4.24,1.38,9.16,AO
Animal Crossing,PC,Shooter,Ubisoft,2011,2.25,1.31,2.87,1.99,8.42,T
Dark Warriors: Odyssey,Nintendo Switch,Sports,EA,2002,0.29,4.72,1.17,1.85,8.03,E10+
Dark Knights: Eclipse,Xbox Series X,Strategy,Ubisoft,2023,1.55,3.07,2.23,0.7,7.55,AO
Iron Warriors: Chronicles,Nintendo Switch,Shooter,Ubisoft,2010,4.39,2.13,2.31,0.66,9.49,T
Galactic Lords: Odyssey,Xbox Series X,Puzzle,EA,2003,3.65,3.85,3.74,3.57,14.81,E10+
Iron Lords: Ascension,Xbox Series X,Sports,Activision,2008,4.33,1.54,2.14,4.78,12.79,T
Red Dead Redemption 2,Nintendo Switch,Sports,Capcom,2018,1.39,3.11,4.54,4.1,13.14,E
Mystic Raiders: Eclipse,PS5,Action,Capcom,2011,0.58,4.29,3.35,1.06,9.28,M
Dark Legends: Chronicles,PS5,Action,Capcom,2012,3.27,0.77,2.81,1.36,8.21,AO
Galactic Warriors: Eclipse,Xbox Series X,Action,Microsoft,2007,3.01,1.49,3.3,1.68,9.48,AO
Mystic Warriors: Rebirth,PS4,Strategy,Nintendo,2020,3.04,4.08,1.65,3.28,12.05,E
Galactic Legends: Odyssey,PS5,Sports,EA,2000,1.67,4.8,4.75,1.64,12.86,M
Shadow Knights: Chronicles,Xbox One,RPG,EA,2020,3.27,4.14,3.52,4.34,15.27,T
Galactic Raiders: Rebirth,Xbox One,Adventure,Ubisoft,2005,1.91,1.7,3.55,0.31,7.47,E10+
Iron Warriors: Odyssey,PS4,Puzzle,Nintendo,2007,3.42,3.76,0.76,2.64,10.58,M
Iron Legends: Odyssey,Xbox One,RPG,Ubisoft,2000,4.3,1.81,3.04,1.04,10.19,AO
Galactic Raiders: Chronicles,PS4,Sports,Nintendo,2001,4.0,3.87,4.49,2.52,14.88,AO
Galactic Lords: Rebirth,PS5,RPG,Ubisoft,2010,0.77,1.9,0.52,2.34,5.53,T
Dark Legends: Odyssey,PS5,Shooter,Nintendo,2008,2.24,4.34,1.34,0.22,8.14,E
Mystic Legends: Ascension,Nintendo Switch,Puzzle,Activision,2017,3.87,2.19,1.63,3.08,10.77,M
Overwatch,PC,Shooter,EA,2019,1.86,3.66,2.72,1.91,10.15,E
Mystic Warriors: Ascension,Xbox One,Action,Nintendo,2002,1.44,2.63,0.85,2.87,7.79,T
Shadow Lords: Eclipse,PC,Strategy,EA,2007,1.35,1.39,3.61,4.56,10.91,E
Iron Knights: Eclipse,Xbox One,Shooter,EA,2013,0.83,4.02,4.18,1.66,10.69,AO
Iron Knights: Chronicles,PC,Sports,Sony,2022,3.1,3.13,0.98,4.08,11.29,E10+
Call of Duty,PC,RPG,Activision,2015,2.86,3.87,2.04,3.72,12.49,M
